weighted_error, threshold, feature, weight_alpha
6.520947176684898094e-01,-9.109450000000000047e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.502732240437174571e-01,-9.099819999999999576e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.484517304189451048e-01,-9.098549999999999693e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.466302367941727525e-01,-9.098159999999999581e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.448087431694004001e-01,-9.090819999999999457e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.429872495446280478e-01,-9.070120000000000404e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.448087431694004001e-01,-9.063280000000000225e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.466302367941727525e-01,-9.058580000000000521e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.484517304189451048e-01,-9.056499999999999551e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.502732240437174571e-01,-9.043050000000000255e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.502732240437174571e-01,-9.043050000000000255e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.466302367941727525e-01,-9.039580000000000393e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.448087431694004001e-01,-9.035300000000000553e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.429872495446280478e-01,-9.028209999999999846e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.411657559198556955e-01,-9.021329999999999627e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.393442622950833432e-01,-9.017089999999999828e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.375227686703109908e-01,-9.003050000000000219e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.357012750455386385e-01,-8.998930000000000540e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.338797814207662862e-01,-8.998660000000000547e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.357012750455386385e-01,-8.998230000000000395e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.357012750455386385e-01,-8.998230000000000395e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.393442622950833432e-01,-8.988699999999999468e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.375227686703109908e-01,-8.984429999999999916e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.393442622950833432e-01,-8.975009999999999932e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.411657559198556955e-01,-8.970160000000000355e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.429872495446280478e-01,-8.965330000000000243e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.448087431694004001e-01,-8.959559999999999746e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.429872495446280478e-01,-8.959200000000000497e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.448087431694004001e-01,-8.954729999999999634e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.429872495446280478e-01,-8.952130000000000365e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.448087431694004001e-01,-8.945199999999999818e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.448087431694004001e-01,-8.945199999999999818e-01,-1.000000000000000000e+00,1.000000000000000000e+00
